Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?,Do you have previous employers?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,What is your age?,What is your gender?,What country do you work in?,Do you work remotely?,Negative consequences from discussing mental health with employer,Have you had mental health benefits before,How easy is it to ask for mental health leave?,Mental health effects on work when treated effectively,Mental health effects on work when not treated effectively,Sharing mental health issue with family and friends,Back-end Developer,Designer,Dev Evangelist/Advocate,DevOps/SysAdmin,Executive Leadership,Front-end Developer,HR,One-person shop,Sales,Supervisor/Team Lead,Support
0,-0.593597905594566,1,0,0,-1,0,0,-1,0,1,2,-1,0,0,1,0,-1,0,-1,1,0,1,1,-1,0,1,1,1,0,0,0,2,0,2,0,39,1,49,1,0,0,2,-1,-1,4,1,0,0,0,0,0,0,0,0,0,0
0,-0.7276935270069581,1,0,0,2,2,2,2,0,1,2,2,0,0,1,1,0,1,2,0,0,0,1,1,0,1,0,0,0,0,2,2,2,2,1,29,1,50,0,0,2,1,1,1,4,1,0,0,0,0,1,0,0,0,0,0
0,-0.7276935270069581,1,0,0,-1,0,0,-1,0,1,1,-1,0,0,1,0,0,1,-1,-1,1,1,-1,-1,1,2,2,1,1,1,0,1,0,0,1,38,1,49,2,1,0,0,-1,-1,4,1,0,0,0,0,0,0,0,0,0,0
1,-0.7706041258589237,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,-1,1,1,1,1,-1,1,2,1,2,1,0,0,2,2,2,1,43,1,49,1,-1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
0,-0.7276935270069581,0,1,2,2,0,0,0,1,1,0,0,0,0,1,0,1,0,-1,1,1,0,1,1,1,1,0,2,1,2,2,2,2,2,1,43,0,50,1,2,-1,0,1,1,4,1,0,1,1,1,1,0,0,0,1,1
0,1.9095203607700875,1,0,2,1,0,2,2,2,1,2,0,2,0,1,2,0,0,-1,2,1,0,0,0,1,2,1,2,1,2,0,0,2,0,1,42,1,49,1,2,0,1,-1,3,4,1,1,0,1,0,1,0,0,0,0,1
0,-0.593597905594566,1,0,-1,0,0,0,-1,0,1,2,2,0,0,1,1,0,1,-1,0,0,1,2,1,0,2,2,2,0,0,0,0,0,0,0,30,1,50,1,0,1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0
0,1.9095203607700875,1,0,2,2,0,2,2,0,1,2,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,2,2,1,37,0,50,2,0,1,2,1,3,4,1,0,1,0,0,0,0,0,0,0,0
0,-0.593597905594566,0,1,-1,0,0,0,-1,2,2,1,0,0,0,1,0,1,0,-1,2,2,0,0,0,0,1,1,1,2,2,2,2,2,2,1,44,0,50,1,2,-1,-2,1,3,4,1,0,0,0,0,0,0,1,0,0,1
1,-0.7706041258589237,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,-1,1,1,1,1,-1,0,2,1,1,0,0,2,2,2,2,1,30,1,50,2,-1,1,-1,1,3,5,1,0,0,0,0,1,0,1,0,0,0
